Distance,Force
236.13467,324.91055
235.21829,326.17102
235.21829,326.17102
234.26265,327.4959
234.26265,327.4959
233.32617,328.80475
233.32617,328.80475
232.48758,329.9857
232.48758,329.9857
231.64691,331.1781
231.64691,331.1781
230.81047,332.37308
230.81047,332.37308
230.00424,333.53308
230.00424,333.53308
229.29088,334.56628
229.29088,334.56628
228.62923,335.5303
228.62923,335.5303
227.92056,336.569
227.92056,336.569
227.27338,337.5232
227.27338,337.5232
226.67554,338.40952
226.67554,338.40952
226.08284,339.29272
226.08284,339.29272
225.42632,340.27652
225.42632,340.27652
224.81511,341.19757
224.81511,341.19757
224.26573,342.02966
224.26573,342.02966
223.69481,342.8987
223.69481,342.8987
223.12741,343.7668
223.12741,343.7668
222.62573,344.538
222.62573,344.538
222.18019,345.2258
222.18019,345.2258
221.67163,346.01428
221.67163,346.01428
221.19313,346.75943
221.19313,346.75943
220.75945,347.43756
220.75945,347.43756
220.31696,348.1322
220.31696,348.1322
219.83731,348.8883
219.83731,348.8883
219.44185,349.51422
219.44185,349.51422
219.0863,350.0789
219.0863,350.0789
218.7203,350.662
218.7203,350.662
218.3862,351.19604
218.3862,351.19604
218.1208,351.62137
218.1208,351.62137
217.8196,352.1054
217.8196,352.1054
217.49449,352.6293
217.49449,352.6293
217.20888,353.09088
217.20888,353.09088
216.93092,353.5412
216.93092,353.5412
216.62865,354.0323
216.62865,354.0323
216.39537,354.41214
216.39537,354.41214
216.22812,354.68506
216.22812,354.68506
216.06479,354.95187
216.06479,354.95187
215.93173,355.16962
215.93173,355.16962
215.84973,355.30392
215.84973,355.30392
215.7301,355.50006
215.7301,355.50006
215.5838,355.74017
215.5838,355.74017
215.46457,355.93613
215.46457,355.93613
215.34814,356.12766
215.34814,356.12766
215.2309,356.3208
215.2309,356.3208
215.19545,356.3792
215.19545,356.3792
215.21635,356.34476
215.21635,356.34476
215.25218,356.2857
215.25218,356.2857
215.326,356.16412
215.326,356.16412
215.41988,356.0096
215.41988,356.0096
215.46495,355.9355
215.46495,355.9355
215.5005,355.87708
215.5005,355.87708
215.55305,355.7907
215.55305,355.7907
215.60435,355.70642
215.60435,355.70642
215.69397,355.5593
215.69397,355.5593
215.86688,355.27585
215.86688,355.27585
